project_id,district_id,province_id,project_status,landSize,starting_price_range,facility_1,facility_2,facility_3,facility_4,facility_5,facility_6
44,1046.0,10.0,1,21600.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
24,1046.0,10.0,0,61989.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0
161,1101.0,11.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
73,1301.0,13.0,1,44817.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
219,1103.0,11.0,1,20629.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0
192,1303.0,13.0,1,23316.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0
4,1303.0,13.0,0,86396.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0
208,1011.0,10.0,0,17670.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0
228,1046.0,10.0,0,13866.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
473,1303.0,13.0,1,10533.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
971,1204.0,12.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
982,1011.0,10.0,1,52608.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0
957,1203.0,12.0,0,18946.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
372,1010.0,10.0,0,24637.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0
439,9016.0,90.0,0,12291.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
414,7306.0,73.0,0,6255.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
998,1032.0,10.0,1,3362.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
1116,1046.0,10.0,0,10591.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115,1102.0,11.0,1,72000.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
269,1038.0,10.0,0,15691.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
313,1032.0,10.0,0,3976.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
929,1027.0,10.0,1,3190.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0
157,1201.0,12.0,0,952.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0
1213,1202.0,12.0,1,39649.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
836,1034.0,10.0,1,2809.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1187,1009.0,10.0,1,390.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
1216,1046.0,10.0,1,34119.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
1905,1032.0,10.0,0,39050.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
1446,1032.0,10.0,0,47651.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
1780,1203.0,12.0,0,23416.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0
355,5013.0,50.0,0,38098.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
896,5013.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,1033.0,10.0,1,549.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0
1005,1027.0,10.0,0,2800.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1189,1018.0,10.0,1,5141.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0
845,1039.0,10.0,0,612.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
908,1042.0,10.0,1,75389.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0
1452,2401.0,24.0,1,23920.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0
847,1019.0,10.0,0,4027.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0
1593,1019.0,10.0,0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
1698,2004.0,20.0,0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
618,1032.0,10.0,1,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0
1828,1004.0,10.0,1,274.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0
1441,1306.0,13.0,0,26524.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
1731,2004.0,20.0,0,900.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0
1902,1036.0,10.0,0,18831.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
189,1038.0,10.0,1,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
