project_id,landSize,project_status,starting_price_range,facility_1,facility_2,facility_3,facility_4,facility_5,facility_6,amount_bedroom,amount_bathroom,amount_car_parking,unit_functional_space_starting_size,district_id_1001.0,district_id_1002.0,district_id_1003.0,district_id_1004.0,district_id_1005.0,district_id_1006.0,district_id_1007.0,district_id_1008.0,district_id_1009.0,district_id_1010.0,district_id_1011.0,district_id_1012.0,district_id_1014.0,district_id_1015.0,district_id_1016.0,district_id_1017.0,district_id_1018.0,district_id_1019.0,district_id_1020.0,district_id_1021.0,district_id_1022.0,district_id_1023.0,district_id_1024.0,district_id_1025.0,district_id_1026.0,district_id_1027.0,district_id_1028.0,district_id_1029.0,district_id_1030.0,district_id_1031.0,district_id_1032.0,district_id_1033.0,district_id_1034.0,district_id_1035.0,district_id_1036.0,district_id_1037.0,district_id_1038.0,district_id_1039.0,district_id_1040.0,district_id_1041.0,district_id_1042.0,district_id_1043.0,district_id_1044.0,district_id_1045.0,district_id_1046.0,district_id_1047.0,district_id_1048.0,district_id_1049.0,district_id_1050.0,district_id_1101.0,district_id_1102.0,district_id_1103.0,district_id_1104.0,district_id_1105.0,district_id_1106.0,district_id_1201.0,district_id_1202.0,district_id_1203.0,district_id_1204.0,district_id_1205.0,district_id_1206.0,district_id_1301.0,district_id_1302.0,district_id_1303.0,district_id_1304.0,district_id_1305.0,district_id_1306.0,district_id_1307.0,district_id_1401.0,district_id_1406.0,district_id_1411.0,district_id_1412.0,district_id_1414.0,district_id_1601.0,district_id_1901.0,district_id_1902.0,district_id_1903.0,district_id_1909.0,district_id_1911.0,district_id_2001.0,district_id_2002.0,district_id_2004.0,district_id_2005.0,district_id_2006.0,district_id_2007.0,district_id_2009.0,district_id_2011.0,district_id_2101.0,district_id_2102.0,district_id_2103.0,district_id_2105.0,district_id_2106.0,district_id_2108.0,district_id_2201.0,district_id_2307.0,district_id_2401.0,district_id_2403.0,district_id_2404.0,district_id_2405.0,district_id_2406.0,district_id_2409.0,district_id_2501.0,district_id_2502.0,district_id_2604.0,district_id_2701.0,district_id_2706.0,district_id_3001.0,district_id_3007.0,district_id_3009.0,district_id_3018.0,district_id_3021.0,district_id_3101.0,district_id_3201.0,district_id_3401.0,district_id_3411.0,district_id_3415.0,district_id_3701.0,district_id_3707.0,district_id_4001.0,district_id_4005.0,district_id_4019.0,district_id_4101.0,district_id_4201.0,district_id_4301.0,district_id_4401.0,district_id_4404.0,district_id_4501.0,district_id_4505.0,district_id_4701.0,district_id_5001.0,district_id_5005.0,district_id_5007.0,district_id_5011.0,district_id_5012.0,district_id_5013.0,district_id_5014.0,district_id_5015.0,district_id_5019.0,district_id_5025.0,district_id_5101.0,district_id_5106.0,district_id_5201.0,district_id_5401.0,district_id_5501.0,district_id_5514.0,district_id_5601.0,district_id_5605.0,district_id_5701.0,district_id_5702.0,district_id_5709.0,district_id_5710.0,district_id_6001.0,district_id_6201.0,district_id_6306.0,district_id_6501.0,district_id_6701.0,district_id_6711.0,district_id_7001.0,district_id_7005.0,district_id_7101.0,district_id_7103.0,district_id_7106.0,district_id_7201.0,district_id_7204.0,district_id_7301.0,district_id_7302.0,district_id_7303.0,district_id_7305.0,district_id_7306.0,district_id_7307.0,district_id_7401.0,district_id_7402.0,district_id_7403.0,district_id_7501.0,district_id_7503.0,district_id_7601.0,district_id_7604.0,district_id_7605.0,district_id_7701.0,district_id_7706.0,district_id_7707.0,district_id_7708.0,district_id_8001.0,district_id_8101.0,district_id_8205.0,district_id_8301.0,district_id_8302.0,district_id_8303.0,district_id_8401.0,district_id_8402.0,district_id_8404.0,district_id_8408.0,district_id_8415.0,district_id_8417.0,district_id_8601.0,district_id_8604.0,district_id_9001.0,district_id_9011.0,district_id_9014.0,district_id_9016.0,district_id_9201.0,district_id_9304.0,province_id_10.0,province_id_11.0,province_id_12.0,province_id_13.0,province_id_14.0,province_id_16.0,province_id_19.0,province_id_20.0,province_id_21.0,province_id_22.0,province_id_23.0,province_id_24.0,province_id_25.0,province_id_26.0,province_id_27.0,province_id_30.0,province_id_31.0,province_id_32.0,province_id_34.0,province_id_37.0,province_id_40.0,province_id_41.0,province_id_42.0,province_id_43.0,province_id_44.0,province_id_45.0,province_id_47.0,province_id_50.0,province_id_51.0,province_id_52.0,province_id_54.0,province_id_55.0,province_id_56.0,province_id_57.0,province_id_60.0,province_id_62.0,province_id_63.0,province_id_65.0,province_id_67.0,province_id_70.0,province_id_71.0,province_id_72.0,province_id_73.0,province_id_74.0,province_id_75.0,province_id_76.0,province_id_77.0,province_id_80.0,province_id_81.0,province_id_82.0,province_id_83.0,province_id_84.0,province_id_86.0,province_id_90.0,province_id_92.0,province_id_93.0,unit_type_id_1.0,unit_type_id_2.0,unit_type_id_3.0,unit_type_id_4.0,unit_type_id_5.0,unit_type_id_6.0
4,86396.0,0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,154.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,61989.0,0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,80000.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,21669.0,0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,21600.0,1,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,34984.0,0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,193.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,44817.0,1,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,31600.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,160.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,72000.0,1,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,24000.0,1,3.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,254.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
