,userCode,project_id,requestedDevice,userAgent,pageReferrer,year,month,day,hour
0,7717bdc2-ea3e-e8ad-5d6b-178bd71c38b2,7956,Mobile,Android,HomeWebsite,2018,1,1,0
1,7717bdc2-ea3e-e8ad-5d6b-178bd71c38b2,7956,Mobile,Android,HomeWebsite,2018,1,1,0
4,dba8f279-844e-eef6-73ac-22bd7d1353cc,6474,Mobile,iPad,Google,2018,1,1,0
8,9794fe34-fb0f-4242-8a35-7610cb1e0ee8,9323,Mobile,iPad,Facebook,2018,1,1,0
11,aeda4133-61eb-07fd-a004-ca1fecb0aaa4,7847,Mobile,Android,Google,2018,1,1,0
17,39dba0c3-e628-75ce-2481-56ef8acfd987,4062,Mobile,Android,Other_PageReferer,2018,1,1,0
24,cf5ff490-c9d3-8ef3-7d22-42753c3289f9,9257,Mobile,iPhone,HomeWebsite,2018,1,1,0
25,e1317300-cf15-d8d5-427e-5814c3c42253,7973,Desktop,Windows,Facebook,2018,1,1,0
30,77263a1f-e971-12d5-8f3a-53cd6e0537ae,2869,Mobile,Android,HomeWebsite,2018,1,1,0
32,46d49dee-60a0-495f-ac1b-1b8cbe8e13f8,7973,Mobile,iPhone,HomeWebsite,2018,1,1,0
33,683bea27-6c98-9bae-12a5-f7c0f12c629a,9317,Mobile,Android,Facebook,2018,1,1,0
34,e1317300-cf15-d8d5-427e-5814c3c42253,6427,Desktop,Windows,HomeWebsite,2018,1,1,0
35,e1317300-cf15-d8d5-427e-5814c3c42253,6427,Desktop,Windows,HomeWebsite,2018,1,1,0
37,683bea27-6c98-9bae-12a5-f7c0f12c629a,9317,Mobile,Android,HomeWebsite,2018,1,1,0
45,71dcdb4d-a3eb-5181-d52e-01458c3bf05f,4335,Mobile,iPhone,Google,2018,1,1,0
49,bf3f1b2b-66c5-87ae-3b9b-3245ff798e61,8756,Mobile,iPhone,HomeWebsite,2018,1,1,0
51,bf3f1b2b-66c5-87ae-3b9b-3245ff798e61,9091,Mobile,iPhone,HomeWebsite,2018,1,1,0
60,4d816f73-cd90-e028-3afe-627e826c7ecf,6454,Mobile,Android,Other_PageReferer,2018,1,1,0
61,71dcdb4d-a3eb-5181-d52e-01458c3bf05f,5741,Mobile,iPhone,HomeWebsite,2018,1,1,0
